date,Buy_Qty,Sell_Qty,Buy_Amount,Sell_Amount,Date,Net_Qty,Net_Amount,Cum_Net_Qty,Cum_Net_Amount
,3115,12343,949531.0,3757503.0,2025-03-02,-9228,-2807972.0,,
,5730,2031,1739015.0,617445.0,2025-03-03,3699,1121570.0,,
,9610,3251,2912734.0,991175.0,2025-03-04,6359,1921559.0,,
,2921,1321,858768.0,389461.0,2025-03-05,1600,469307.0,,
,10,1379,2940.0,405583.0,2025-03-06,-1369,-402643.0,,
,100,2815,29020.0,822588.0,2025-03-09,-2715,-793568.0,,
,3693,2632,1061101.0,761887.0,2025-03-10,1061,299214.0,,
,7000,13178,1974476.0,3736346.0,2025-03-11,-6178,-1761870.0,,
,31,2030,8772.0,572538.0,2025-03-12,-1999,-563766.0,,
,1471,1592,411979.0,446570.0,2025-03-16,-121,-34591.0,,
,719,1700,202037.0,476000.0,2025-03-17,-981,-273963.0,,
,1660,1120,462000.0,314670.0,2025-03-18,540,147330.0,,
,450,0,124200.0,0.0,2025-03-19,450,124200.0,,
,490,10253,134862.0,2811024.0,2025-03-20,-9763,-2676162.0,,
,1325,341,356173.0,91699.0,2025-03-23,984,264474.0,,
,880,1381,237263.0,371023.0,2025-03-24,-501,-133760.0,,
,4055,501,1073939.0,130822.0,2025-03-25,3554,943117.0,,
,350,0,92695.0,0.0,2025-03-26,350,92695.0,,
,955,780,259155.0,210704.0,2025-03-27,175,48451.0,,
,1050,1170,285950.0,323625.0,2025-03-30,-120,-37675.0,,
,260,966,71013.0,263458.0,2025-04-01,-706,-192445.0,,
,100,622,27200.0,170224.0,2025-04-02,-522,-143024.0,,
,2477,220,687268.0,61556.0,2025-04-03,2257,625712.0,,
,721,7237,196249.0,1968833.0,2025-04-07,-6516,-1772584.0,,
,1080,694,289767.0,186123.0,2025-04-08,386,103644.0,,
,675,14818,182250.0,4001243.0,2025-04-09,-14143,-3818993.0,,
,0,536,0.0,146451.0,2025-04-10,-536,-146451.0,,
,1220,2066,333195.0,566024.0,2025-04-13,-846,-232829.0,,
,153,2504,43595.0,693913.0,2025-04-15,-2351,-650318.0,,
,2512,4980,712776.0,1408740.0,2025-04-16,-2468,-695964.0,,
,37072,10993,10730388.0,3174141.0,2025-04-17,26079,7556247.0,,
,0,17440,0.0,5051345.0,2025-04-20,-17440,-5051345.0,,
,8330,14425,2426939.0,4169856.0,2025-04-21,-6095,-1742917.0,,
,7940,5414,2300216.0,1565655.0,2025-04-22,2526,734561.0,,
,3455,19384,970402.0,5460180.0,2025-04-23,-15929,-4489778.0,,
,550,250,152980.0,70500.0,2025-04-24,300,82480.0,,
,3532,12543,1021734.0,3645947.0,2025-04-27,-9011,-2624213.0,,
,5415,5620,1576744.0,1669570.0,2025-04-28,-205,-92826.0,,
,10,270,2840.0,76935.0,2025-04-29,-260,-74095.0,,
,200,7278,58000.0,2152885.0,2025-04-30,-7078,-2094885.0,,
,30112,21289,9206834.0,6523706.0,2025-05-04,8823,2683128.0,,
,7467,2799,2249329.0,844550.0,2025-05-05,4668,1404779.0,,
,9141,9750,2777145.0,2970701.0,2025-05-06,-609,-193556.0,,
,16691,13109,5180178.0,4082234.0,2025-05-07,3582,1097944.0,,
,9420,16216,3008267.0,5193595.0,2025-05-08,-6796,-2185328.0,,
,5573,36546,1765621.0,11712976.0,2025-05-11,-30973,-9947355.0,,
,2663,4208,826110.0,1308970.0,2025-05-13,-1545,-482860.0,,
,6193,7035,1856494.0,2136608.0,2025-05-14,-842,-280114.0,,
,6925,15072,2044880.0,4520401.0,2025-05-15,-8147,-2475521.0,,
,600,5253,173592.0,1510715.0,2025-05-18,-4653,-1337123.0,,
,1811,660,525504.0,193995.0,2025-05-19,1151,331509.0,,
,100,4462,30056.0,1354003.0,2025-05-20,-4362,-1323947.0,,
,4019,5230,1226792.0,1589261.0,2025-05-21,-1211,-362469.0,,
,2645,13356,783221.0,3978545.0,2025-05-22,-10711,-3195324.0,,
,0,10,0.0,2900.0,2025-05-25,-10,-2900.0,,
,3500,10,1022000.0,2927.0,2025-05-26,3490,1019073.0,,
,4521,5130,1317336.0,1493350.0,2025-05-27,-609,-176014.0,,
,3015,1235,888063.0,360960.0,2025-05-28,1780,527103.0,,
,1883,2277,556333.0,681761.0,2025-06-02,-394,-125428.0,,
,3000,0,880500.0,0.0,2025-06-03,3000,880500.0,,
,2639,337,770488.0,98615.0,2025-06-04,2302,671873.0,,
,7040,916,2075961.0,270067.0,2025-06-05,6124,1805894.0,,
,4630,6869,1399209.0,2090510.0,2025-06-08,-2239,-691301.0,,
,10,4387,3040.0,1325787.0,2025-06-09,-4377,-1322747.0,,
,2300,7139,698805.0,2166342.0,2025-06-10,-4839,-1467537.0,,
,20200,7000,6345140.0,2166293.0,2025-06-11,13200,4178847.0,,
,4033,8138,1269169.0,2570489.0,2025-06-12,-4105,-1301320.0,,
,267,1962,81902.0,607508.0,2025-06-15,-1695,-525606.0,,
,4150,3124,1263025.0,954518.0,2025-06-16,1026,308507.0,,
,3038,1052,907151.0,313676.0,2025-06-17,1986,593475.0,,
,1120,1417,333280.0,423671.0,2025-06-18,-297,-90391.0,,
,1570,2267,470310.0,682401.0,2025-06-19,-697,-212091.0,,
,763,379,223096.0,112432.0,2025-06-22,384,110664.0,,
,1255,1722,367292.0,504066.0,2025-06-23,-467,-136774.0,,
,11650,1380,3420135.0,406670.0,2025-06-24,10270,3013465.0,,
,10409,500,3048234.0,146500.0,2025-06-25,9909,2901734.0,,
,6500,437,1893447.0,127237.0,2025-06-26,6063,1766210.0,,
,10376,731,3008829.0,211678.0,2025-06-29,9645,2797151.0,,
,2990,1265,869672.0,368766.0,2025-06-30,1725,500906.0,,
,1594,294,465126.0,86406.0,2025-07-01,1300,378720.0,,
,2485,808,731160.0,237542.0,2025-07-02,1677,493618.0,,
,1511,1419,442635.0,417264.0,2025-07-03,92,25371.0,,
,0,1043,0.0,306672.0,2025-07-06,-1043,-306672.0,,
,200,254,58240.0,74516.0,2025-07-07,-54,-16276.0,,
,100,2312,29100.0,678297.0,2025-07-08,-2212,-649197.0,,
,0,16897,0.0,4991122.0,2025-07-09,-16897,-4991122.0,,
,1000,6052,293200.0,1790829.0,2025-07-10,-5052,-1497629.0,,
,646,1230,189926.0,372759.0,2025-07-13,-584,-182833.0,,
,1296,1017,380201.0,297069.0,2025-07-14,279,83132.0,,
,3217,1250,950026.0,369414.0,2025-07-15,1967,580612.0,,
,1060,905,312870.0,268751.0,2025-07-16,155,44119.0,,
,1340,6676,406006.0,2034461.0,2025-07-17,-5336,-1628455.0,,
,856,4923,263290.0,1502442.0,2025-07-20,-4067,-1239152.0,,
,1290,145,388960.0,43987.0,2025-07-21,1145,344973.0,,
,2512,7761,780407.0,2400197.0,2025-07-22,-5249,-1619790.0,,
,20052,12920,6378333.0,4139892.0,2025-07-23,7132,2238441.0,,
,28555,29845,9295653.0,9698197.0,2025-07-24,-1290,-402544.0,,
,5965,17742,1942960.0,5886074.0,2025-07-27,-11777,-3943114.0,,
,7621,2428,2426140.0,771402.0,2025-07-28,5193,1654738.0,,
,3572,2546,1144928.0,818521.0,2025-07-29,1026,326407.0,,
,2294,8582,715214.0,2695908.0,2025-07-30,-6288,-1980694.0,,
,2757,4769,850090.0,1474657.0,2025-07-31,-2012,-624567.0,,
,4357,3095,1317766.0,936356.0,2025-08-03,1262,381410.0,,
,2724,16581,824671.0,4976960.0,2025-08-04,-13857,-4152289.0,,
,2635,218,790338.0,65387.0,2025-08-05,2417,724951.0,,
,1305,3823,388299.0,1134284.0,2025-08-06,-2518,-745985.0,,
,1766,225,530386.0,67604.0,2025-08-07,1541,462782.0,,
,1236,2906,371682.0,866814.0,2025-08-11,-1670,-495132.0,,
,550,2200,162550.0,659300.0,2025-08-12,-1650,-496750.0,,
,3492,5068,1042642.0,1515129.0,2025-08-13,-1576,-472487.0,,
,4150,50,1242439.0,14950.0,2025-08-14,4100,1227489.0,,
,923,1785,273809.0,527284.0,2025-08-17,-862,-253475.0,,
,0,1202,0.0,355889.0,2025-08-18,-1202,-355889.0,,
,160,50,47608.0,14930.0,2025-08-19,110,32678.0,,
,0,200,0.0,59200.0,2025-08-20,-200,-59200.0,,
,4610,50,1356759.0,14725.0,2025-08-21,4560,1342034.0,,
,973,650,283188.0,190100.0,2025-08-24,323,93088.0,,
,1096,2039,318752.0,595185.0,2025-08-25,-943,-276433.0,,
,104,2,30348.0,584.0,2025-08-26,102,29764.0,,
,502,1860,148193.0,549274.0,2025-08-27,-1358,-401081.0,,
,397,4198,115635.0,1231030.0,2025-08-31,-3801,-1115395.0,,
,2668,10,780089.0,2920.0,2025-09-01,2658,777169.0,,
,1227,5450,357179.0,1592610.0,2025-09-02,-4223,-1235431.0,,
,640,50,187069.0,14550.0,2025-09-03,590,172519.0,,
,500,570,144340.0,164792.0,2025-09-04,-70,-20452.0,,
,2460,1481,713517.0,428304.0,2025-09-07,979,285213.0,,
,2720,212,782712.0,61896.0,2025-09-08,2508,720816.0,,
,48351,5637,13721941.0,1602911.0,2025-09-21,42714,12119030.0,,
,4147,1638,1201142.0,478595.0,2025-09-23,2509,722547.0,,
,8071,103,2339374.0,29870.0,2025-09-24,7968,2309504.0,,
,165,1000,47790.0,290000.0,2025-09-25,-835,-242210.0,,
,10,695,2909.0,203212.0,2025-09-28,-685,-200303.0,,
,633,0,181829.0,0.0,2025-10-07,633,181829.0,,
,500,750,140100.0,208500.0,2025-10-08,-250,-68400.0,,
,1080,1635,307010.0,470110.0,2025-10-09,-555,-163100.0,,
,18225,0,5063034.0,0.0,2025-10-12,18225,5063034.0,,
,1264,2400,352786.0,664200.0,2025-10-13,-1136,-311414.0,,
,397,315,109333.0,87271.0,2025-10-14,82,22062.0,,
,600,900,163300.0,245830.0,2025-10-15,-300,-82530.0,,
,0,5438,0.0,1466660.0,2025-10-16,-5438,-1466660.0,,
,0,550,0.0,149050.0,2025-10-19,-550,-149050.0,,
,2300,600,622789.0,162377.0,2025-10-26,1700,460412.0,,
,300,277,82200.0,77534.0,2025-10-28,23,4666.0,,
,0,224,0.0,62776.0,2025-10-29,-224,-62776.0,,
,200,2475,56980.0,694762.0,2025-10-30,-2275,-637782.0,,
,0,2111,0.0,615223.0,2025-11-02,-2111,-615223.0,,
,0,1500,0.0,436550.0,2025-11-03,-1500,-436550.0,,
,1000,250,290000.0,72110.0,2025-11-04,750,217890.0,,
,502,1,142568.0,284.0,2025-11-05,501,142284.0,,
