Date,Buy_Qty,Sell_Qty,Net_Qty,Buy_Amount,Sell_Amount,Net_Amount
2024-02-28,490,230,260,157718.0,74521.0,83197.0
2024-02-29,0,657,-657,0.0,206446.0,-206446.0
2024-03-03,1740,740,1000,531290.0,225554.0,305736.0
2024-03-04,730,0,730,242809.0,0.0,242809.0
2024-03-05,5365,3423,1942,1751000.0,1150191.0,600809.0
2024-03-06,13535,4334,9201,4420086.6,1412366.0,3007720.5999999996
2024-03-07,5633,845,4788,1853502.0,283425.0,1570077.0
2024-03-10,819,890,-71,269336.0,293707.0,-24371.0
2024-03-12,460,890,-430,151572.0,294355.0,-142783.0
2024-03-13,2430,5025,-2595,810666.0,1663307.0,-852641.0
2024-03-14,1300,2170,-870,426862.0,735280.0,-308418.0
2024-03-17,10757,385,10372,3501798.5,125666.0,3376132.5
2024-03-18,630,340,290,205894.0,111091.0,94803.0
2024-03-19,3910,3680,230,1263649.0,1195917.0,67732.0
2024-03-20,280,255,25,90457.0,82870.5,7586.5
2024-03-21,930,200,730,294875.0,63248.0,231627.0
2024-03-25,12739,250,12489,3923533.4,78166.0,3845367.4
2024-03-26,4731,3862,869,1524924.0,1264916.2,260007.80000000005
2024-03-27,3076,2890,186,1033467.5,969638.0,63829.5
2024-03-28,3237,11966,-8729,1139920.2,4201188.5,-3061268.3
2024-03-31,5550,21019,-15469,2084385.5,7829366.6,-5744981.1
2024-04-01,541,2094,-1553,194709.3,759111.0,-564401.7
2024-04-02,464,350,114,158357.0,121444.0,36913.0
2024-04-03,1000,1250,-250,338000.0,423118.0,-85118.0
2024-04-04,2080,995,1085,695572.5,335842.5,359730.0
2024-04-07,7270,1480,5790,2443600.0,509323.0,1934277.0
2024-04-09,420,13508,-13088,147328.0,4816221.0,-4668893.0
2024-04-10,57,1565,-1508,19767.6,550773.0,-531005.4
2024-04-14,4060,1320,2740,1396980.0,462774.0,934206.0
2024-04-15,2255,325,1930,773952.5,111798.0,662154.5
2024-04-16,923,90,833,309251.4,30473.0,278778.4
2024-04-18,1275,1120,155,417405.0,366964.0,50441.0
2024-04-21,115,1352,-1237,38080.5,446171.2,-408090.7
2024-04-22,605,3415,-2810,202091.5,1173991.0,-971899.5
2024-04-24,1840,860,980,615970.0,289827.0,326143.0
2024-04-25,5620,1490,4130,1853155.0,495251.0,1357904.0
2024-04-28,121,210,-89,40201.0,70119.0,-29918.0
2024-04-29,150,955,-805,50143.0,317766.0,-267623.0
2024-04-30,855,2370,-1515,287271.5,795018.0,-507746.5
2024-05-02,1040,2080,-1040,346256.0,695543.0,-349287.0
2024-05-05,5129,250,4879,1644370.9,81391.0,1562979.9
2024-05-06,6735,325,6410,2182258.0,105163.0,2077095.0
2024-05-07,808,380,428,263187.0,124035.0,139152.0
2024-05-08,10610,711,9899,3415977.2,229457.2,3186520.0
2024-05-09,2288,220,2068,740277.0,70960.0,669317.0
2024-05-12,280,372,-92,90570.0,121749.0,-31179.0
2024-05-13,0,610,-610,0.0,201048.0,-201048.0
2024-05-14,1300,13554,-12254,434893.0,4532081.1,-4097188.0999999996
2024-05-15,500,1770,-1270,168740.0,596251.0,-427511.0
2024-05-16,2422,350,2072,799214.5,115302.0,683912.5
2024-05-19,230,2085,-1855,76842.0,699380.7,-622538.7
2024-05-20,112,2360,-2248,38027.0,814016.0,-775989.0
2024-05-21,2100,3827,-1727,716153.0,1295988.5,-579835.5
2024-05-22,788,8680,-7892,266036.2,2967493.1,-2701456.9
2024-05-26,870,240,630,284681.0,79860.0,204821.0
2024-05-27,670,880,-210,221514.0,291061.0,-69547.0
2024-05-29,18730,61752,-43022,6787045.4,22414204.2,-15627158.799999999
2024-05-30,0,1141,-1141,0.0,455601.3,-455601.3
2024-06-02,3825,24367,-20542,1619816.7,10135580.7,-8515764.0
2024-06-03,3968,2471,1497,1694601.0,1070613.5,623987.5
2024-06-04,2423,1496,927,960909.4,604910.8,355998.6
2024-06-05,5198,1583,3615,1989520.8,612161.3,1377359.5
2024-06-06,2397,5714,-3317,950408.0,2259472.5,-1309064.5
2024-06-09,4689,1782,2907,1837131.0,712039.0,1125092.0
2024-06-10,3568,1730,1838,1430834.2,697267.0,733567.2
2024-06-11,2016,2217,-201,848804.6,930696.7,-81892.09999999998
2024-06-12,2007,5967,-3960,832533.1,2506477.3,-1673944.1999999997
2024-06-13,510,290,220,206627.0,118589.0,88038.0
2024-06-16,420,2537,-2117,166320.0,1008648.0,-842328.0
2024-06-18,277,1223,-946,108261.7,480393.2,-372131.5
2024-06-19,610,1880,-1270,241839.0,748235.0,-506396.0
2024-06-20,21,1680,-1659,8401.5,676491.0,-668089.5
2024-06-23,980,380,600,386821.0,148495.0,238326.0
2024-06-24,270,400,-130,105010.0,156962.0,-51952.0
2024-06-25,130,2365,-2235,51955.0,943502.3,-891547.3
2024-06-26,210,620,-410,84510.0,250176.4,-165666.4
2024-06-27,628,570,58,247206.0,223982.4,23223.600000000006
2024-06-30,150,180,-30,58104.0,70359.0,-12255.0
2024-07-01,395,410,-15,152923.0,160859.0,-7936.0
2024-07-02,470,1991,-1521,188490.0,799927.0,-611437.0
2024-07-03,170,2778,-2608,66596.0,1086949.8,-1020353.8
2024-07-04,320,570,-250,126704.0,225077.8,-98373.79999999999
2024-07-07,2260,225,2035,882651.0,87935.0,794716.0
2024-07-08,40,750,-710,15510.0,291042.0,-275532.0
2024-07-09,1150,314,836,448560.8,121833.8,326727.0
2024-07-10,449,1447,-998,176229.4,567444.7,-391215.29999999993
2024-07-11,970,1855,-885,386063.0,729154.0,-343091.0
2024-07-14,305,285,20,122457.0,115158.0,7299.0
2024-07-15,178,640,-462,71905.3,255976.0,-184070.7
2024-07-16,160,2414,-2254,65720.0,997524.0,-931804.0
2024-07-17,3914,2390,1524,1614548.2,978615.0,635933.2
2024-07-18,2035,3774,-1739,840788.0,1564566.0,-723778.0
2024-07-21,2028,900,1128,841937.5,374112.0,467825.5
2024-07-22,260,304,-44,108455.0,127438.4,-18983.399999999994
2024-07-23,578,1000,-422,245730.0,425359.0,-179629.0
2024-07-24,1154,1875,-721,484625.0,789384.5,-304759.5
2024-07-25,2210,921,1289,910386.0,383434.0,526952.0
2024-07-28,505,1210,-705,208152.0,494101.4,-285949.4
2024-07-29,2650,2395,255,1075191.4,968636.0,106555.3999999999
2024-07-30,2815,1376,1439,1171468.0,572898.0,598570.0
2024-07-31,1712,1861,-149,746715.2,805013.0,-58297.80000000005
2024-08-01,2146,4391,-2245,925635.6,1890185.7,-964550.1
2024-08-05,3633,1070,2563,1573856.9,467820.0,1106036.9
2024-08-06,14591,1317,13274,6425864.0,566555.9,5859308.1
2024-08-07,6250,965,5285,2689298.9,411552.0,2277746.9
2024-08-08,1210,3098,-1888,517021.0,1327794.2,-810773.2
2024-08-11,428,3260,-2832,184728.2,1431964.0,-1247235.8
2024-08-12,1336,4145,-2809,625144.0,1982158.4,-1357014.4
2024-08-13,2497,1790,707,1157221.0,832530.0,324691.0
2024-08-14,2090,1940,150,961307.0,883757.0,77550.0
2024-08-15,1758,3747,-1989,826930.0,1770863.0,-943933.0
2024-08-18,896,1652,-756,390950.0,746137.0,-355187.0
2024-08-21,570,2143,-1573,246674.0,928772.0,-682098.0
2024-08-22,2785,1420,1365,1209831.0,624747.0,585084.0
2024-08-25,400,4010,-3610,169303.0,1689614.0,-1520311.0
2024-08-27,1672,2965,-1293,679341.0,1211115.0,-531774.0
2024-08-28,425,735,-310,175586.0,299585.0,-123999.0
2024-08-29,260,940,-680,103673.0,377919.0,-274246.0
2024-09-01,1081,1370,-289,430799.0,537939.0,-107140.0
2024-09-02,575,2175,-1600,235843.0,878247.0,-642404.0
2024-09-03,145,6170,-6025,59575.0,2528071.0,-2468496.0
2024-09-04,652,325,327,260054.0,131679.0,128375.0
2024-09-05,280,3687,-3407,111055.0,1438463.0,-1327408.0
2024-09-08,289,3790,-3501,115647.0,1540299.0,-1424652.0
2024-09-09,270,170,100,106695.0,68151.0,38544.0
2024-09-10,1000,480,520,403000.0,190957.0,212043.0
2024-09-11,50,120,-70,19336.0,46934.0,-27598.0
2024-09-12,426,180,246,169700.0,72081.0,97619.0
2024-09-15,3055,590,2465,1250990.0,241981.0,1009009.0
2024-09-16,3066,3046,20,1264766.0,1278983.0,-14217.0
2024-09-18,203,537,-334,85176.0,226410.0,-141234.0
2024-09-22,1240,1380,-140,508718.0,562224.0,-53506.0
2024-09-23,300,1736,-1436,116809.0,690709.0,-573900.0
2024-09-24,2122,980,1142,815880.0,380070.0,435810.0
2024-09-25,302,217,85,116252.0,83260.0,32992.0
2024-09-26,1200,80,1120,455733.0,30746.0,424987.0
2024-09-29,980,80,900,364755.0,29782.0,334973.0
2024-09-30,27,170,-143,10066.0,62825.0,-52759.0
2024-10-01,105,410,-305,40550.0,156802.0,-116252.0
2024-10-02,195,755,-560,74997.0,290782.0,-215785.0
2024-10-06,180,440,-260,69936.0,170273.0,-100337.0
2024-10-07,1215,116,1099,485222.0,46425.0,438797.0
2024-10-08,140,110,30,54908.0,44040.0,10868.0
2024-10-09,60,92,-32,23188.0,36134.0,-12946.0
2024-10-15,10,2020,-2010,3881.0,785510.0,-781629.0
2024-10-16,900,290,610,359804.0,115977.0,243827.0
2024-10-17,720,589,131,288110.0,236769.0,51341.0
2024-10-20,1200,1480,-280,470900.0,589558.0,-118658.0
2024-10-21,156,610,-454,60713.0,236291.0,-175578.0
2024-10-22,10,270,-260,3901.0,106095.0,-102194.0
2024-10-23,150,1006,-856,57904.0,401789.0,-343885.0
2024-10-24,260,200,60,100786.0,78579.0,22207.0
2024-10-27,9565,2060,7505,3841248.0,829230.0,3012018.0
2024-10-28,950,3456,-2506,409147.0,1476376.0,-1067229.0
2024-10-29,2246,840,1406,996215.0,374429.0,621786.0
2024-10-30,995,8725,-7730,432445.0,3750949.0,-3318504.0
2024-11-05,20,1190,-1170,8380.0,498296.0,-489916.0
2024-11-06,88,1522,-1434,37520.0,649584.0,-612064.0
2024-11-10,475,1694,-1219,209130.0,745315.0,-536185.0
2024-11-11,575,345,230,249230.0,151908.0,97322.0
2024-11-12,510,330,180,218779.0,140893.0,77886.0
2024-11-13,6130,2915,3215,2805555.0,1309362.0,1496193.0
2024-11-14,3186,2903,283,1520548.0,1385848.0,134700.0
2024-11-17,3705,2825,880,1768862.0,1354713.0,414149.0
2024-11-19,1530,1901,-371,698542.0,892109.0,-193567.0
2024-11-20,2295,1390,905,1043702.0,632312.0,411390.0
2024-11-21,1277,450,827,566112.0,200253.0,365859.0
2024-11-24,494,1347,-853,222182.0,597003.0,-374821.0
2024-11-25,860,649,211,382235.0,286886.0,95349.0
2024-11-26,1900,1447,453,867583.0,658879.0,208704.0
2024-11-27,1333,760,573,617542.0,350983.0,266559.0
2024-11-28,4193,3512,681,1949888.0,1642112.0,307776.0
2024-12-01,3315,4567,-1252,1554865.0,2161524.0,-606659.0
2024-12-02,9797,5597,4200,5001282.0,2838399.0,2162883.0
2024-12-03,3305,2085,1220,1712604.0,1110515.0,602089.0
2024-12-04,5264,2907,2357,2716394.0,1515109.0,1201285.0
2024-12-05,6823,2614,4209,3448437.0,1304254.0,2144183.0
2024-12-08,7003,2308,4695,3564249.0,1194662.0,2369587.0
2024-12-09,11838,1703,10135,6029859.0,867783.0,5162076.0
2024-12-10,726,1650,-924,362246.0,827691.0,-465445.0
2024-12-11,13558,3262,10296,6897788.0,1685211.0,5212577.0
2024-12-12,9165,3100,6065,4824592.0,1629521.0,3195071.0
2024-12-16,240,416,-176,121415.0,208363.0,-86948.0
2024-12-17,160,780,-620,78950.0,385395.0,-306445.0
2024-12-18,7470,2349,5121,3754711.0,1182399.0,2572312.0
2024-12-19,1875,322,1553,920253.0,156823.0,763430.0
2024-12-22,3590,5263,-1673,1758611.0,2544732.0,-786121.0
2024-12-23,4710,275,4435,2340158.0,136659.0,2203499.0
2024-12-24,13442,10126,3316,6949587.0,5218658.0,1730929.0
2024-12-26,6916,5489,1427,3545782.0,2774300.0,771482.0
2024-12-29,840,882,-42,409980.0,434488.0,-24508.0
2024-12-31,1475,70,1405,683858.0,33055.0,650803.0
2025-01-01,219,1435,-1216,103768.0,680503.0,-576735.0
2025-01-02,1590,645,945,770638.0,315812.0,454826.0
2025-01-05,2677,1256,1421,1384819.0,640223.0,744596.0
2025-01-06,9470,3872,5598,5024314.0,2053253.0,2971061.0
2025-01-07,3212,6622,-3410,1714582.0,3574718.0,-1860136.0
2025-01-08,6955,4018,2937,3960149.0,2318056.0,1642093.0
2025-01-09,2086,3386,-1300,1187953.0,1921520.0,-733567.0
2025-01-12,1930,899,1031,1065136.0,494494.0,570642.0
2025-01-13,4620,1784,2836,2491580.0,964055.0,1527525.0
2025-01-15,3560,2150,1410,1950508.0,1184847.0,765661.0
2025-01-16,2340,8134,-5794,1297338.0,4506034.0,-3208696.0
2025-01-19,5187,6239,-1052,2900693.0,3482175.0,-581482.0
2025-01-20,1213,1996,-783,679539.0,1126144.0,-446605.0
2025-01-21,515,7820,-7305,282689.0,4324759.0,-4042070.0
2025-01-22,1820,16530,-14710,1003825.0,9054208.0,-8050383.0
2025-01-23,1890,7057,-5167,1060972.0,3930069.0,-2869097.0
2025-01-26,848,2759,-1911,478091.0,1550143.0,-1072052.0
2025-01-27,5497,13440,-7943,3169449.0,7689223.0,-4519774.0
2025-01-28,3498,6364,-2866,2030322.0,3673926.0,-1643604.0
2025-02-02,2202,4801,-2599,1247192.0,2768986.0,-1521794.0
2025-02-03,725,965,-240,402900.0,530829.0,-127929.0
2025-02-04,4597,3295,1302,2569424.0,1842675.0,726749.0
2025-02-05,1030,3370,-2340,587932.0,1932771.0,-1344839.0
2025-02-06,2660,18161,-15501,1655031.0,11193641.0,-9538610.0
2025-02-09,5418,14187,-8769,3629929.0,9471042.0,-5841113.0
2025-02-10,2661,2120,541,1681621.0,1362572.0,319049.0
2025-02-11,865,2130,-1265,547580.0,1336878.0,-789298.0
2025-02-12,335,700,-365,209747.0,438583.0,-228836.0
2025-02-13,2370,565,1805,1460651.0,349797.0,1110854.0
2025-02-16,1377,2924,-1547,862405.0,1802151.0,-939746.0
2025-02-17,2160,394,1766,1347538.0,247453.0,1100085.0
2025-02-18,1128,260,868,685668.0,159003.0,526665.0
2025-02-20,428,370,58,255255.0,221548.0,33707.0
2025-02-23,4091,1208,2883,2388709.0,709996.0,1678713.0
2025-02-24,4922,1455,3467,2930883.0,865757.0,2065126.0
2025-02-25,2590,1813,777,1527639.0,1057292.0,470347.0
2025-02-27,540,1600,-1060,317960.0,933919.0,-615959.0
2025-03-02,3731,1885,1846,2176658.0,1099416.0,1077242.0
2025-03-03,3729,810,2919,2138567.0,470299.0,1668268.0
2025-03-04,1062,1201,-139,597772.0,685856.0,-88084.0
2025-03-05,220,3940,-3720,123835.0,2196060.0,-2072225.0
2025-03-06,616,1050,-434,347886.0,596802.0,-248916.0
2025-03-09,563,894,-331,317423.0,502834.0,-185411.0
2025-03-10,1360,640,720,742755.0,355270.0,387485.0
2025-03-11,1120,535,585,595445.0,290170.0,305275.0
2025-03-12,0,160,-160,0.0,84778.0,-84778.0
2025-03-16,68,300,-232,35959.0,158943.0,-122984.0
2025-03-17,640,6950,-6310,341214.0,3699720.0,-3358506.0
2025-03-18,550,70,480,289390.0,37145.0,252245.0
2025-03-19,710,180,530,366482.0,93814.0,272668.0
2025-03-20,230,270,-40,118787.0,140387.0,-21600.0
2025-03-23,138,1290,-1152,71143.0,667191.0,-596048.0
2025-03-24,20,550,-530,10200.0,285711.0,-275511.0
2025-03-25,200,1510,-1310,99200.0,754330.0,-655130.0
2025-03-26,923,740,183,471096.0,381549.0,89547.0
2025-03-27,130,980,-850,66444.0,506233.0,-439789.0
2025-03-30,702,190,512,376908.0,101549.0,275359.0
2025-04-01,50,1493,-1443,26093.0,788116.0,-762023.0
2025-04-02,100,283,-183,52400.0,148294.0,-95894.0
2025-04-03,90,1959,-1869,47005.0,1025260.0,-978255.0
2025-04-07,295,150,145,150400.0,76686.0,73714.0
2025-04-08,563,90,473,281859.0,45294.0,236565.0
2025-04-09,0,20,-20,0.0,10320.0,-10320.0
2025-04-10,100,100,0,51100.0,51543.0,-443.0
2025-04-13,10,190,-180,5120.0,97939.0,-92819.0
2025-04-15,1234,680,554,652695.0,361260.0,291435.0
2025-04-16,552,100,452,293079.0,53482.0,239597.0
2025-04-17,510,260,250,271895.0,138946.0,132949.0
2025-04-20,240,80,160,125980.0,42004.0,83976.0
2025-04-21,100,160,-60,53105.0,84404.0,-31299.0
2025-04-22,347,60,287,181316.0,31540.0,149776.0
2025-04-23,230,30,200,117752.0,15561.0,102191.0
2025-04-24,90,70,20,45303.0,35516.0,9787.0
2025-04-27,2302,330,1972,1164767.0,169122.0,995645.0
2025-04-28,370,655,-285,184842.0,325288.0,-140446.0
2025-04-29,1040,394,646,527000.0,198415.0,328585.0
2025-04-30,645,40,605,322081.0,19781.0,302300.0
2025-05-04,1164,160,1004,562752.0,77863.0,484889.0
2025-05-05,343,80,263,163031.0,38898.0,124133.0
2025-05-06,170,792,-622,81477.0,391990.0,-310513.0
2025-05-07,140,564,-424,70391.0,280280.0,-209889.0
2025-05-08,205,460,-255,103417.0,230865.0,-127448.0
2025-05-11,30,260,-230,15540.0,130617.0,-115077.0
2025-05-13,0,120,-120,0.0,59882.0,-59882.0
2025-05-14,130,3810,-3680,63520.0,1869965.0,-1806445.0
2025-05-15,100,60,40,47705.0,29139.0,18566.0
2025-05-18,30,420,-390,13950.0,197657.0,-183707.0
2025-05-19,207,722,-515,98741.0,344050.0,-245309.0
2025-05-20,886,560,326,425790.0,270348.0,155442.0
2025-05-21,1140,130,1010,557164.0,65481.0,491683.0
2025-05-22,200,250,-50,96350.0,121157.0,-24807.0
2025-05-25,60,80,-20,28356.0,38004.0,-9648.0
2025-05-26,385,280,105,183840.0,134328.0,49512.0
2025-05-27,14,70,-56,6720.0,33329.0,-26609.0
2025-05-28,366,110,256,175246.0,52694.0,122552.0
2025-06-02,388,239,149,183384.0,114635.0,68749.0
2025-06-03,840,1310,-470,390900.0,608105.0,-217205.0
2025-06-04,624,190,434,283985.0,86622.0,197363.0
2025-06-05,50,30,20,22798.0,13837.0,8961.0
2025-06-08,17,90,-73,7905.0,41935.0,-34030.0
2025-06-09,20,270,-250,9400.0,129692.0,-120292.0
2025-06-10,210,646,-436,104680.0,321786.0,-217106.0
2025-06-11,757,90,667,364509.0,43609.0,320900.0
